crt_1;crt_2;crt_3;id;sex;age;crt_all
5 cent;5;47;137;Nő;21;3
0.05;5;47;160;Férfi;19;3
0.05 euró;5 perc;24;168;Nő;21;2
0.5;500;47;142;Nő;22;1
0.10;100;47;193;Nő;20;1
0.05;5;47;116;Férfi;21;3
0.05;100;47;323;Férfi;21;2
0.10;5;47;96;Férfi;22;2
10;100;12;203;Nő;22;0
10 cent;100 perc;24 nap;345;Nő;22;0
0.05 euro vagy 5 cent;5 perc;47;241;Nő;24;3
0.1;5;47;134;Férfi;20;2
0.05;5.00;47;156;Férfi;21;3
0,5;20;47;231;Férfi;20;1
5 cent;5 perc;47 nap;333;Férfi;21;3
10 CENT;100;24;304;Nő;21;0
5 cent;5 perc;47 nap;27;Nő;19;3
A labda 10 cent, az ütő 1.10 euró.;5 percbe;47 napba;182;Nő;21;2
5 cent;500;47;291;Férfi;23;2
0.05;100;47;166;Nő;22;2
0.5 euro;5 perc;2;3;Nő;19;2
0.05 euró;5 perc;47;140;Nő;25;3
0.05;1;47;277;Nő;25;2
10 cent;1 perc;47;79;Nő;19;1
50,5 cent;5 perc;47;19;Nő;22;2
0.5;5;47;161;Nő;20;2
0.05;20;47;172;Férfi;22;2
0,05;5;47;325;Nő;22;3
0.05;100;24;226;Nő;24;1
1.05 euró;5 perc;24 nap;110;Nő;21;1
0.05;100;47;221;Nő;21;2
5 cent;5 perc;47;254;Nő;24;3
0.1;5;47;23;Nő;21;2
0.5;5;47;122;Férfi;23.333333333333332;2
0,05;100;47;8;Férfi;21;2
1;100;24;344;Nő;22;0
1.5;5 perc;47 nap;50;Nő;19;2
5 cent;5;47;268;Nő;22;3
10 cent;100;47;128;Nő;20;1
0.05 Euro (5 cent);5 perc;47;81;Nő;20;3
0.05;50;47;151;Nő;21;2
0.5 euró;5 perc;24 nap;15;Nő;25;1
5 cent;5 perc;47 nap;219;Nő;21;3
0.05 euró;5 perc;47 nap;275;Nő;19;3
0.10 euró;100 perc;24;33;Nő;22;0
5 cent;5 perc;47 nap;287;Nő;24;3
0.10;5;47;85;Férfi;21;2
10 cent;100 perc;24;24;Nő;20;0
0.1;100;24;167;Nő;23;0
0.05;100;24;249;Nő;22;1
5cent;100;24;334;Nő;20.333333333333332;1
0.05;5;47;6;Férfi;21;3
10;500;47;28;Férfi;21;1
0.10;20;32;135;Férfi;18.333333333333332;0
0.05 euró;5 perc;47;357;Férfi;20;3
0.01;5;24;353;Nő;20;1
0.1;100 perc;24 nap;169;Nő;20;0
5 centbe;5 percbe;47 nap;10;Nő;20;3
0.05;5.0;47.0;207;Férfi;21;3
0.05 euró;5 perc;47 nap;106;Nő;22;3
5;10;47;233;Nő;21;2
0.1 euró;1 perc;47 nap;46;Férfi;21;1
5 cent;5 perc;24 nap;184;Férfi;20;2
0,05;25;47;255;Nő;19;2
0.5;5;47;141;Nő;20;3
0.10 euró (10 cent);20 perc;NA;286;Nő;21;0
0.10;5;47;355;Férfi;21;2
5;5;47;147;Férfi;24;3
0.10 euróba;100 percbe;24 óra alatt;324;Nő;20;0
0.05 euró;5 perc;47 nap;148;Nő;25;3
5 centbe;500 percbe;30;266;Nő;19;1
0.1;100;96;139;Nő;20;0
0.05 euró;5 perc;47 nap;342;Férfi;20;3
10 cent;10;24;239;Nő;20;0
0.1;5;47;174;Nő;21;2
0.10;100;24;37;Nő;20;0
0.05;5;47 nap;360;Nő;20;3
0.05;1;47;159;Nő;24;2
0.1 euró;5 perc;47 nap;298;Férfi;19;2
0.5;100;47;150;Férfi;22;2
0.10 euro;100 perc;2^24;80;Nő;21;0
0.05;5 perc;47;191;Férfi;21;3
0.10;100;24;97;Nő;24;0
5 cent.;5 perc.;24 nap.;82;Nő;19;2
0.5;5;47;335;Férfi;21.333333333333332;2
0.05;5;47;293;Férfi;19;3
0.05 euró;5 perc;47;235;Nő;21;3
0.10 euró;100 perc;20;67;Nő;19;0
0.05;5 perc;47;281;Nő;23;3
2.10;100;96;115;Nő;22;0
0.10;100;47;173;Nő;21;1
0.05;5;47;171;Nő;20;3
10 cent;100;24;253;Nő;22;0
10 cent;100 perc;12 nap;197;Nő;21;0
0.5;5;47;321;Férfi;22;2
