id,age,sex,ses_status,BAQ_all,Inattention,PlanningError,EMOQ_all,error_anticipation,error_strain,learning_from_errors,thinking_about_errors,crt_all,Raven_all,aot_all,sds_all,MAAS_all
3,19,Nő,7,2.17,1.6,2.75,65,16,8,20,21,2,7,66,77,59
140,25,Nő,8,1.45,1.4,1.5,80,20,18,20,22,3,5,71,109,64
277,25,Nő,8,2.08,1.4,2.75,74,22,12,19,21,2,8,67,101,61
79,19,Nő,6,2.75,2,3.5,53,10,9,18,16,1,9,49,92,50
19,22,Nő,8,1.55,1.6,1.5,61,16,16,9,20,2,7,65,112,56
161,20,Nő,8,1.23,1.2,1.25,73,17,17,16,23,2,10,70,96,50
172,22,Férfi,3,2,1.25,2.75,62,12,16,14,20,2,11,67,107,33
325,22,Nő,8,1.7,1.4,2,58,12,13,16,17,3,9,51,91,45
226,24,Nő,5,3.52,2.8,4.25,62,14,17,12,19,1,12,49,58,35
110,21,Nő,8,1.88,1.25,2.5,50,14,12,8,16,1,4,55,106,54
221,21,Nő,5,3.25,3,3.5,71,21,19,10,21,2,9,57,77,40
254,24,Nő,5,2.17,1.6,2.75,60,9,14,15,22,3,8,57,105,59
23,21,Nő,7,2.48,2.2,2.75,67,14,19,15,19,2,8,57,93,41
122,23.333333333333332,Férfi,5,2.05,1.6,2.5,58,18,10,15,15,2,7,56,105,57
8,21,Férfi,4,2.25,1.5,3,65,14,14,18,19,2,7,51,106,42
344,22,Nő,8,1.42,1.5,1.33,38,8,5,12,13,0,4,57,96,52
50,19,Nő,9,2.08,1.4,2.75,62,10,16,16,20,2,12,53,81,45
268,22,Nő,7,2.75,2,3.5,55,16,15,8,16,3,10,57,95,44
128,20,Nő,6,2.67,2.6,2.75,72,21,10,17,24,1,6,57,76,52
81,20,Nő,8,2.5,2,3,52,18,9,13,12,3,9,54,95,47
151,21,Nő,3,2.08,1.4,2.75,63,19,21,8,15,2,9,51,98,38
15,25,Nő,7,1,1,1,58,16,14,15,13,1,5,60,81,66
219,21,Nő,8,2.5,3,2,66,14,17,13,22,3,10,58,101,43
275,19,Nő,6,1.62,1,2.25,66,19,14,15,18,3,12,63,81,53
33,22,Nő,5,1.77,1.8,1.75,73,19,19,15,20,0,3,53,96,50
287,24,Nő,7,1.7,1.4,2,82,17,20,20,25,3,6,59,114,53
85,21,Férfi,8,2.75,3,2.5,69,17,18,12,22,2,4,66,86,47
24,20,Nő,9,1.62,1,2.25,44,19,8,9,8,0,7,66,105,67
167,23,Nő,9,2.12,1.75,2.5,75,17,19,16,23,0,6,60,88,38
249,22,Nő,6,1.73,2.2,1.25,73,18,19,16,20,1,5,55,103,46
334,20.333333333333332,Nő,8,2.75,2,3.5,63,18,18,9,18,1,4,55,55,47
6,21,Férfi,5,1.57,1.4,1.75,78,22,19,12,25,3,12,69,105,54
28,21,Férfi,7,2.66,4,1.33,69,14,20,16,19,1,5,59,88,40
135,18.333333333333332,Férfi,7,2.65,2.8,2.5,66,13,22,16,15,0,2,42,61,41
357,20,Férfi,6,2,1.5,2.5,63,20,13,12,18,3,11,65,64,55
353,20,Nő,8,1.82,1.4,2.25,69,18,22,12,17,1,6,56,86,53
169,20,Nő,5,2.33,1.4,3.25,62,19,16,9,18,0,5,61,71,45
10,20,Nő,6,1.57,1.4,1.75,60,13,13,15,19,3,3,45,98,44
207,21,Férfi,8,2.05,1.6,2.5,52,10,12,12,18,3,11,56,94,51
106,22,Nő,6,2.45,1.4,3.5,58,17,12,15,14,3,10,57,100,61
233,21,Nő,7,1.62,1,2.25,78,16,22,19,21,2,10,56,69,42
46,21,Férfi,7,1.92,1.6,2.25,75,18,20,15,22,1,6,65,79,44
184,20,Férfi,5,2.02,1.8,2.25,83,21,21,17,24,2,8,66,79,43
255,19,Nő,7,2.94,2.2,3.67,51,9,12,10,20,2,11,57,85,53
141,20,Nő,3,2.04,1.33,2.75,72,18,19,16,19,3,2,60,97,45
286,21,Nő,7,1.38,1,1.75,74,22,18,13,21,0,7,71,83,30
355,21,Férfi,8,2.46,1.6,3.33,47,7,10,12,18,2,10,54,93,53
147,24,Férfi,8,1.54,1.33,1.75,66,17,14,19,16,3,9,67,104,49
324,20,Nő,4,2.1,1.2,3,67,13,20,13,21,0,12,63,106,47
148,25,Nő,8,3.35,2.2,4.5,36,13,5,8,10,3,7,62,51,32
266,19,Nő,5,1.68,1.6,1.75,41,9,11,10,11,1,6,50,90,54
139,20,Nő,4,2.35,2.2,2.5,60,15,22,11,12,0,8,57,91,51
342,20,Férfi,8,2,1.5,2.5,67,17,14,15,21,3,9,58,71,43
239,20,Nő,8,2.12,2,2.25,58,8,13,16,21,0,1,49,88,59
174,21,Nő,9,1.95,2.4,1.5,76,18,24,11,23,2,9,53,88,42
37,20,Nő,8,2.38,2,2.75,63,14,16,16,17,0,8,54,87,49
360,20,Nő,6,1.82,1.4,2.25,62,12,15,14,21,3,8,51,90,55
159,24,Nő,4,2.25,2,2.5,76,16,24,12,24,2,10,65,78,37
298,19,Férfi,2,2.12,3,1.25,59,20,19,9,11,2,7,67,121,51
150,22,Férfi,8,2,1,3,63,19,21,8,15,2,7,61,92,45
80,21,Nő,7,1.77,1.8,1.75,72,15,12,20,25,0,12,71,94,53
191,21,Férfi,4,2.66,1.33,4,63,13,16,15,19,3,10,52,79,50
97,24,Nő,8,2,1.5,2.5,62,16,14,15,17,0,7,52,104,66
82,19,Nő,6,2.79,2.33,3.25,76,22,14,18,22,2,5,69,83,47
335,21.333333333333332,Férfi,8,1,1,1,59,12,12,18,17,2,6,49,79,76
293,19,Férfi,5,1.9,1.8,2,67,17,16,15,19,3,9,69,120,56
235,21,Nő,8,2.05,1.6,2.5,66,18,17,13,18,3,10,57,106,45
67,19,Nő,9,2.02,1.8,2.25,53,12,10,16,15,0,7,49,92,49
281,23,Nő,7,1.5,1.25,1.75,63,14,18,13,18,3,10,48,104,37
115,22,Nő,6,2.25,2,2.5,52,13,17,9,13,0,3,49,88,56
173,21,Nő,5,2.02,1.8,2.25,76,21,24,10,21,1,9,68,100,34
171,20,Nő,4,1.48,1.2,1.75,51,11,18,10,12,3,9,62,94,49
253,22,Nő,9,2.25,2,2.5,59,13,16,15,15,0,5,44,62,47
197,21,Nő,8,2.62,2.75,2.5,56,11,11,16,18,0,5,38,109,55
321,22,Férfi,7,1.73,1.2,2.25,65,17,8,17,23,2,10,66,81,46
317,18,Nő,6,3.1,3.2,3,80,20,23,14,23,1,4,60,72,42
303,24,Nő,7,2.12,1.75,2.5,58,16,10,16,16,0,7,56,91,65
78,22,Férfi,8,1.48,1.2,1.75,80,20,18,18,24,2,5,69,108,37
279,22,Férfi,6,2.42,1.6,3.25,61,17,11,14,19,3,12,65,91,52
49,20,Nő,9,2.12,2,2.25,58,18,15,13,12,1,7,42,97,57
211,25,Nő,7,1.77,1.8,1.75,64,9,15,17,23,1,12,52,100,49
130,22,Nő,5,1.7,1.4,2,60,14,13,15,18,3,8,57,117,50
247,20,Nő,9,1.82,1.4,2.25,54,11,11,17,15,3,10,59,88,55
11,22,Nő,8,2,1,3,54,21,8,12,13,2,7,49,70,51
105,23,Nő,8,2.45,2.4,2.5,73,17,19,18,19,1,2,50,76,50
328,20,Nő,7,2.25,1.75,2.75,74,15,25,11,23,3,8,53,102,51
350,25,Nő,8,2.62,1.5,3.75,70,16,19,16,19,1,3,52,78,47
283,20,Nő,4,2.85,2.2,3.5,71,19,19,14,19,0,12,63,94,37
220,18,Nő,8,1.75,1.5,2,81,20,21,17,23,1,8,51,74,43
