index	neme	eletkora	gyermeke	isk	anyagi	p_elmeny_percent	testi_fi	alt_lelki	alt_eg_all	fizero	arcocska	aggodalo	ideges	feszult	nyugtala	diener1	diener2	diener3	diener4	diener5	diener6	diener7	diener8	jollet	savor	a_vhat	onreg	rezil	m_flow	g_jerz	g_jpszi	g_jszoc	g_jspir	g_jerzpsz	g_jspszoc	pik_mm	pik_av	pik_onr	pik_rez	p_poz_erz	p_elmely	p_poz_kapc	p_ert_cel	p_telj	p_boldog	p_egeszs	p_neg_erz	p_magany	perma
1628	ferfi	74	2	egyetem	4	40	4	5	5	5	2	2	1	2	1	5	4	5	5	5	3	6	6	4.6667	4.3333	4.4	5	4.3333	4.3333	4.4	4.25	3.75	3.5	4.325	3.625	2.3333	2.75	4	3.3333	27	18	21	20	25	6	27	4	1	179
1629	ferfi	45	2	egyetem	4	60	5	5	5	5	2	2	2	2	2	5	5	5	5	4	6	6	6	5	4.6667	4	3	3.3333	3.3333	3	3	3	3.75	3	3.375	2.8333	2.5	3.3333	3	23	22	19	18	23	8	24	7	1	169
1631	ferfi	58	1	kozepiskola	3	40	4	2	4	3	4	3	6	5	5	6	5	6	5	5	4	4	6	3.3333	4.6667	4.6	2.6667	3.6667	5.6667	3	3.5	3.25	3.5	3.25	3.375	2.5	2.5	2	2.3333	18	25	24	25	23	6	20	21	8	152
1633	ferfi	66	2	egyetem	3	90	4	6	5	4	1	1	1	1	1	5	6	7	4	7	7	7	7	5.6667	4.6667	5.6	5.3333	4.6667	6	5.8	5.25	4	3.5	5.525	3.75	3.5	3.75	4	4	30	28	27	29	27	10	28	4	1	214
1635	ferfi	71	2	egyetem	3	60	3	3	3	2	4	4	2	3	6	4	3	4	5	4	4	3	5	2.6667	2.3333	2.8	4.3333	2.6667	3.3333	2.4	2.75	2.75	2.5	2.575	2.625	1.3333	2.25	3	2.6667	16	13	15	21	24	5	14	23	7	118
1638	ferfi	69	1	egyetem	4	70	6	5	6	6	3	5	5	5	5	7	7	7	7	6	7	6	7	5	5	5.6	5	3.6667	5.6667	4.8	5	5	5.25	4.9	5.125	3.8333	4	3.3333	4	21	23	24	23	21	8	27	8	2	177
1646	ferfi	49	0	kozepiskola	2	50	3	2	2	2	5	4	4	4	3	5	4	5	6	6	5	5	6	3.3333	5	4.6	5	4	3	2.6	2.25	3.5	4.75	2.425	4.125	2.6667	3	3.3333	3	15	19	14	17	14	5	10	12	6	116
1654	ferfi	39	1	kozepiskola	3	10	2	1	3	2	7	5	6	6	3	1	1	1	1	5	2	1	1	1	1.6667	2.6	1.6667	1	2.6667	1	1.25	1	1.75	1.125	1.375	1.6667	2	1	2	4	10	4	6	16	0	5	30	10	45
1655	no	55	3	egyetem	3	70	4	5	4	3	2	1	1	1	1	6	4	6	6	6	6	6	6	5	5	5.4	4.3333	5	5.3333	4.6	4.25	4.75	6	4.425	5.375	3.6667	3.75	2.3333	4	25	23	13	25	21	6	19	5	6	161
1657	no	61	2	kozepiskola	1	80	4	4	4	4	2	2	1	1	1	4	4	4	4	5	5	5	5	4.3333	4.6667	4.4	4.6667	4.3333	5.3333	3.6	3.75	2.25	3.25	3.675	2.75	2.3333	2.5	4	4	21	24	17	20	20	5	22	12	5	152
1659	ferfi	67	2	egyetem	2	70	4	3	4	3	4	1	1	1	1	3	4	2	3	4	4	2	3	3	2.6667	2.2	2.6667	2	3	2.6	1.75	2	1.25	2.175	1.625	1.1667	1.25	2.6667	2	9	19	8	11	19	3	20	16	5	108
1665	ferfi	47	2	kozepiskola	3	20	4	4	4	4	3	4	4	4	4	6	5	6	6	6	6	7	6	5.3333	5.3333	5.2	4	4.6667	3.3333	3.4	3.75	4	4	3.575	4	3.5	3.25	2.3333	3.3333	17	22	18	20	25	7	25	13	7	154
1668	ferfi	30	0	kozepiskola	4	90	5	6	5	NA	1	1	1	2	1	7	6	6	7	6	7	7	6	6	5	5.8	6	4.6667	5.3333	6	5.75	6	6	5.875	6	3.3333	3.5	4	3.3333	27	26	25	28	26	9	25	5	5	196
1671	no	53	2	kozepiskola	3	50	4	5	4	4	2	3	4	4	3	6	6	6	5	6	6	6	6	5.3333	4.3333	5	3	4	4.3333	4.6	5	3	4.25	4.8	3.625	3	3.25	3	3	26	25	26	25	25	9	24	9	7	184
1682	ferfi	50	2	egyetem	4	70	6	5	6	6	3	2	2	2	3	7	6	6	6	7	6	6	6	4.6667	5	5.2	5	5	5.6667	4	4.5	3.25	3.25	4.25	3.25	3.3333	3.5	3.3333	3.6667	21	23	19	27	27	7	28	7	1	184
